Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
New Mexico,34.50034,-106.00085,US,A,1912684,fuzzySWHighMatch1,new mexico,"E._coli_outbreak_kills_1,_sickens_nearly_100"
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Indiana,40.00032,-86.25027,US,A,6265933,fuzzySWHighMatch1,indiana,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Ohio,40.25034,-83.00018,US,A,11467123,fuzzySWHighMatch2,ohio,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Idaho,44.5002,-114.25118,US,A,1416564,fuzzySWHighMatch1,idaho,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Connecticut,41.66704,-72.66648,US,A,3527249,fuzzySWHighMatch1,connecticut,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Kentucky,38.20042,-84.87762,US,A,4206074,fuzzySWHighMatch1,kentucky,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Utah,39.25024,-111.75103,US,A,2427340,fuzzySWHighMatch2,utah,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Pennsylvania,40.8,-77.7,US,A,12440621,fuzzySWHighMatch1,pennsylvania,"E._coli_outbreak_kills_1,_sickens_nearly_100"
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,"E._coli_outbreak_kills_1,_sickens_nearly_100"
San Juan Bautista,11.01422,-63.94383,VE,P,90387,fuzzySWHighMatch1,san juan bautista,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Cuvette-Ouest,0.0,14.5,CG,A,50392,fuzzySWHighMatch1,cuvette-ouest,Ebola_outbreak_in_Congo
Gabon,-1.0,11.75,GA,A,2119275,fuzzySWHighMatch1,gabon,Ebola_outbreak_in_Congo
Congo,-7.79578,-36.63487,BR,A,4692,fuzzySWHighMatch1,congo,Ebola_outbreak_in_Congo
Mbomo,1.81947,11.49054,GA,P,0,fuzzySWHighMatch1,mbomo,Ebola_outbreak_in_Congo
Uganda,1.25,32.5,UG,A,42723139,fuzzySWHighMatch1,uganda,Ebola_outbreak_in_Congo
Zaire,-6.58717,13.51966,AO,A,567225,fuzzySWHighMatch1,zaire,Ebola_outbreak_in_Congo
Afghanistan,33.0,66.0,AF,A,37172386,fuzzySWHighMatch1,afghanistan,Effort_on_to_eradicate_Polio_from_Asia_in_2005
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,Effort_on_to_eradicate_Polio_from_Asia_in_2005
Pakistan,30.0,70.0,PK,A,212215030,fuzzySWHighMatch1,pakistan,Effort_on_to_eradicate_Polio_from_Asia_in_2005
Egypt,27.0,30.0,EG,A,98423595,fuzzySWHighMatch1,egypt,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,Eight_Californians_seriously_ill_after_eating_live_shellfish
Mission Viejo,33.60002,-117.672,US,P,97156,fuzzySWHighMatch1,mission viejo,Eight_Californians_seriously_ill_after_eating_live_shellfish
Fullerton,33.87029,-117.92534,US,P,140847,fuzzySWHighMatch1,fullerton,Eight_Californians_seriously_ill_after_eating_live_shellfish
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Tustin,33.74585,-117.82617,US,P,80583,fuzzySWHighMatch1,tustin,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Glendale,33.53865,-112.18599,US,P,240126,fuzzySWHighMatch1,glendale,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Hollywood,34.09834,-118.32674,US,P,167664,fuzzySWHighMatch1,hollywood,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Los Angeles,34.19801,-118.26102,US,A,9818605,fuzzySWHighMatch1,los angeles,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Santa Monica,34.01949,-118.49138,US,P,93220,fuzzySWHighMatch1,santa monica,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Eritrea,15.0,39.0,ER,A,0,fuzzySWHighMatch1,eritrea,"Eritrea_plans_to_vaccinate_500,000_children"
Ethiopia,9.0,39.5,ET,A,109224559,fuzzySWHighMatch1,ethiopia,"Eritrea_plans_to_vaccinate_500,000_children"
Sudan,16.0,30.0,SD,A,41801533,fuzzySWHighMatch1,sudan,"Eritrea_plans_to_vaccinate_500,000_children"
Greece,39.0,22.0,GR,A,10727668,fuzzySWHighMatch1,greece,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Bulgaria,42.66667,25.25,BG,A,7000039,fuzzySWHighMatch1,bulgaria,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Italy,42.83333,12.83333,IT,A,60431283,fuzzySWHighMatch1,italy,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Austria,47.33333,13.33333,AT,A,8847037,fuzzySWHighMatch1,austria,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Slovenia,46.08333,15.0,SI,A,2067372,fuzzySWHighMatch1,slovenia,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Croatia,45.16667,15.5,HR,A,4089400,fuzzySWHighMatch1,croatia,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Denmark,56.0,10.0,DK,A,5797446,fuzzySWHighMatch1,denmark,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Russia,60.0,100.0,RU,A,144478050,fuzzySWHighMatch1,russia,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Ukraine,49.0,32.0,UA,A,44622516,fuzzySWHighMatch1,ukraine,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Hamburg,53.58333,10.0,DE,A,1774224,fuzzySWHighMatch1,hamburg,Exploding_toads_confuse_scientists
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,Exploding_toads_confuse_scientists
Denmark,56.0,10.0,DK,A,5797446,fuzzySWHighMatch1,denmark,Exploding_toads_confuse_scientists
South Africa,-29.0,24.0,ZA,A,57779622,fuzzySWHighMatch1,south africa,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
KwaZulu-Natal,-29.0,30.0,ZA,A,10154469,fuzzySWHighMatch2,kwazulu-natal,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
Johannesburg,-26.20227,28.04363,ZA,P,2026469,fuzzySWHighMatch1,johannesburg,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
Mozambique,-18.25,35.0,MZ,A,29495962,fuzzySWHighMatch1,mozambique,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
Botswana,-22.0,24.0,BW,A,2254126,fuzzySWHighMatch1,botswana,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Extremely_drug-resistant_tuberculosis_strain_emerges_in_South_Africa
Little Rock,34.74648,-92.28959,US,P,197992,fuzzySWHighMatch1,little rock,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
Arkansas,34.75037,-92.50044,US,A,2757631,fuzzySWHighMatch1,arkansas,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
Spain,40.0,-4.0,ES,A,46723749,fuzzySWHighMatch1,spain,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
Italy,42.83333,12.83333,IT,A,60431283,fuzzySWHighMatch1,italy,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
Israel,31.5,34.75,IL,A,8883800,fuzzySWHighMatch1,israel,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Honduras,15.0,-86.5,HN,A,9587522,fuzzySWHighMatch1,honduras,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Arizona,34.5003,-111.50098,US,A,5863809,fuzzySWHighMatch1,arizona,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Colorado,39.00027,-105.50083,US,A,4678630,fuzzySWHighMatch1,colorado,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Illinois,40.00032,-89.25037,US,A,12772888,fuzzySWHighMatch1,illinois,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Missouri,38.25031,-92.50046,US,A,5768151,fuzzySWHighMatch1,missouri,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
New Jersey,40.16706,-74.49987,US,A,8751436,fuzzySWHighMatch1,new jersey,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
New Mexico,34.50034,-106.00085,US,A,1912684,fuzzySWHighMatch1,new mexico,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Ohio,40.25034,-83.00018,US,A,11467123,fuzzySWHighMatch2,ohio,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Oklahoma,35.49209,-97.50328,US,A,3547049,fuzzySWHighMatch1,oklahoma,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Oregon,44.00013,-120.50139,US,A,3642919,fuzzySWHighMatch1,oregon,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Tennessee,35.75035,-86.25027,US,A,5935099,fuzzySWHighMatch1,tennessee,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Utah,39.25024,-111.75103,US,A,2427340,fuzzySWHighMatch2,utah,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Wisconsin,44.50024,-90.00041,US,A,5535168,fuzzySWHighMatch1,wisconsin,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
British Columbia,53.99983,-125.0032,CA,A,4413973,fuzzySWHighMatch1,british columbia,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Alberta,52.28333,-117.469,CA,A,3497881,fuzzySWHighMatch1,alberta,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Manitoba,55.00019,-97.00049,CA,A,1193566,fuzzySWHighMatch1,manitoba,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
Ontario,49.25014,-84.49983,CA,A,12861940,fuzzySWHighMatch1,ontario,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
New Brunswick,46.5001,-65.99878,CA,A,751250,fuzzySWHighMatch1,new brunswick,FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,FDA_warning_on_pistachios_after_salmonella_contamination
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,FDA_warning_on_pistachios_after_salmonella_contamination
Alaska,64.00028,-150.00028,US,A,660633,fuzzySWHighMatch1,alaska,FDA_warning_on_pistachios_after_salmonella_contamination
Alabama,32.75041,-86.75026,US,A,4530315,fuzzySWHighMatch1,alabama,FDA_warning_on_pistachios_after_salmonella_contamination
Arizona,34.5003,-111.50098,US,A,5863809,fuzzySWHighMatch1,arizona,FDA_warning_on_pistachios_after_salmonella_contamination
Arkansas,34.75037,-92.50044,US,A,2757631,fuzzySWHighMatch1,arkansas,FDA_warning_on_pistachios_after_salmonella_contamination
Colorado,39.00027,-105.50083,US,A,4678630,fuzzySWHighMatch1,colorado,FDA_warning_on_pistachios_after_salmonella_contamination
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,FDA_warning_on_pistachios_after_salmonella_contamination
Idaho,44.5002,-114.25118,US,A,1416564,fuzzySWHighMatch1,idaho,FDA_warning_on_pistachios_after_salmonella_contamination
Illinois,40.00032,-89.25037,US,A,12772888,fuzzySWHighMatch1,illinois,FDA_warning_on_pistachios_after_salmonella_contamination
Indiana,40.00032,-86.25027,US,A,6265933,fuzzySWHighMatch1,indiana,FDA_warning_on_pistachios_after_salmonella_contamination
Kansas,38.50029,-98.50063,US,A,2740759,fuzzySWHighMatch1,kansas,FDA_warning_on_pistachios_after_salmonella_contamination
Kentucky,38.20042,-84.87762,US,A,4206074,fuzzySWHighMatch1,kentucky,FDA_warning_on_pistachios_after_salmonella_contamination
Louisiana,31.00047,-92.0004,US,A,4515939,fuzzySWHighMatch1,louisiana,FDA_warning_on_pistachios_after_salmonella_contamination
Michigan,44.25029,-85.50033,US,A,9883360,fuzzySWHighMatch1,michigan,FDA_warning_on_pistachios_after_salmonella_contamination
Missouri,38.25031,-92.50046,US,A,5768151,fuzzySWHighMatch1,missouri,FDA_warning_on_pistachios_after_salmonella_contamination
Mississippi,32.75041,-89.75036,US,A,2901371,fuzzySWHighMatch1,mississippi,FDA_warning_on_pistachios_after_salmonella_contamination
Montana,47.00025,-109.75102,US,A,930698,fuzzySWHighMatch1,montana,FDA_warning_on_pistachios_after_salmonella_contamination
Nebraska,41.50028,-99.75067,US,A,1757399,fuzzySWHighMatch1,nebraska,FDA_warning_on_pistachios_after_salmonella_contamination
Nevada,39.25021,-116.75119,US,A,2399532,fuzzySWHighMatch1,nevada,FDA_warning_on_pistachios_after_salmonella_contamination
New Mexico,34.50034,-106.00085,US,A,1912684,fuzzySWHighMatch1,new mexico,FDA_warning_on_pistachios_after_salmonella_contamination
North Carolina,35.50069,-80.00032,US,A,10488084,fuzzySWHighMatch1,north carolina,FDA_warning_on_pistachios_after_salmonella_contamination
Ohio,40.25034,-83.00018,US,A,11467123,fuzzySWHighMatch2,ohio,FDA_warning_on_pistachios_after_salmonella_contamination
Oregon,44.00013,-120.50139,US,A,3642919,fuzzySWHighMatch1,oregon,FDA_warning_on_pistachios_after_salmonella_contamination
South Carolina,34.00043,-81.00009,US,A,4229842,fuzzySWHighMatch1,south carolina,FDA_warning_on_pistachios_after_salmonella_contamination
Tennessee,35.75035,-86.25027,US,A,5935099,fuzzySWHighMatch1,tennessee,FDA_warning_on_pistachios_after_salmonella_contamination
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,FDA_warning_on_pistachios_after_salmonella_contamination
Utah,39.25024,-111.75103,US,A,2427340,fuzzySWHighMatch2,utah,FDA_warning_on_pistachios_after_salmonella_contamination
Virginia,37.54812,-77.44675,US,A,7642884,fuzzySWHighMatch1,virginia,FDA_warning_on_pistachios_after_salmonella_contamination
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,FDA_warning_on_pistachios_after_salmonella_contamination
West Virginia,38.50038,-80.50009,US,A,1817871,fuzzySWHighMatch1,west virginia,FDA_warning_on_pistachios_after_salmonella_contamination
Wyoming,43.00024,-107.5009,US,A,505907,fuzzySWHighMatch1,wyoming,FDA_warning_on_pistachios_after_salmonella_contamination
Singapore,1.28967,103.85007,SG,P,5638700,fuzzySWHighMatch1,singapore,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
Hong Kong,22.27832,114.17469,HK,P,7482500,fuzzySWHighMatch2,hong kong,Fake_impotence_drugs_linked_to_low_blood_sugar_outbreak
Iraq,33.0,44.0,IQ,A,38433600,fuzzySWHighMatch2,iraq,First_Iraqi_case_of_Avian_Flu_reported
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,First_Iraqi_case_of_Avian_Flu_reported
Cairo,30.06263,31.24967,EG,P,9606916,fuzzySWHighMatch1,cairo,First_Iraqi_case_of_Avian_Flu_reported
Turkey,39.0,35.0,TR,A,82319724,fuzzySWHighMatch1,turkey,First_Iraqi_case_of_Avian_Flu_reported
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,First_Iraqi_case_of_Avian_Flu_reported
North Korea,40.0,127.0,KP,A,25549819,fuzzySWHighMatch1,north korea,First_bird_flu_case_reported_in_North_Korea
Pyongyang,39.03385,125.75432,KP,P,3222000,fuzzySWHighMatch1,pyongyang,First_bird_flu_case_reported_in_North_Korea
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,"First_bird_flu_cases_registered_In_Maharashtra,_India"
Maharashtra,19.5,76.0,IN,A,112374333,fuzzySWHighMatch1,maharashtra,"First_bird_flu_cases_registered_In_Maharashtra,_India"
Mumbai,19.07283,72.88261,IN,P,12691836,fuzzySWHighMatch1,mumbai,"First_bird_flu_cases_registered_In_Maharashtra,_India"
Nandurbar,21.37,74.2,IN,A,1648295,fuzzySWHighMatch1,nandurbar,"First_bird_flu_cases_registered_In_Maharashtra,_India"
Dhule,20.9013,74.77737,IN,P,366980,fuzzySWHighMatch1,dhule,"First_bird_flu_cases_registered_In_Maharashtra,_India"
Mashonaland West,-17.16667,29.75,ZW,A,1270629,fuzzySWHighMatch1,mashonaland west,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
Midlands,-20.31907,57.57016,MU,P,4546,fuzzySWHighMatch1,midlands,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
Manicaland,-19.0,32.41667,ZW,A,1590136,fuzzySWHighMatch1,manicaland,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
Masvingo,-20.06373,30.82766,ZW,P,76290,fuzzySWHighMatch1,masvingo,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
Zimbabwe,-19.0,29.75,ZW,A,14439018,fuzzySWHighMatch1,zimbabwe,Five_cholera_deaths_recorded_in_Zimbabwe_amid_fears_of_new_epidemic
Surrey,51.25,-0.33333,GB,A,1176549,fuzzySWHighMatch1,surrey,Foot-and-mouth_confirmed_at_UK_farm
Wanborough,51.54263,-1.69837,GB,P,2268,fuzzySWHighMatch1,wanborough,Foot-and-mouth_confirmed_at_UK_farm
Dorset,50.75,-2.33333,GB,A,422727,fuzzySWHighMatch1,dorset,Foot-and-mouth_confirmed_at_UK_farm
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Foot-and-mouth_confirmed_at_UK_farm
Italy,42.83333,12.83333,IT,A,60431283,fuzzySWHighMatch1,italy,Foot-and-mouth_confirmed_at_UK_farm
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Foot-and-mouth_confirmed_at_UK_farm
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Foot-and-mouth_confirmed_at_UK_farm
Guildford,51.23536,-0.57427,GB,P,71873,fuzzySWHighMatch1,guildford,Foot-and-mouth_source_confirmed_as_research_laboratory
Surrey,51.25,-0.33333,GB,A,1176549,fuzzySWHighMatch1,surrey,Foot-and-mouth_source_confirmed_as_research_laboratory
Pirbright,51.29137,-0.64721,GB,P,3691,fuzzySWHighMatch1,pirbright,Foot-and-mouth_source_confirmed_as_research_laboratory
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Foot-and-mouth_source_confirmed_as_research_laboratory
New Zealand,-42.0,174.0,NZ,A,4885500,fuzzySWHighMatch1,new zealand,Foot_and_mouth_scare_in_New_Zealand_likely_to_be_hoax
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,Foot_and_mouth_scare_in_New_Zealand_likely_to_be_hoax
Chechnya,43.25,45.83333,RU,A,1210000,fuzzySWHighMatch1,chechnya,"Former_Russian_spy_Litvinenko_dies,_radioactive_poisoning_suspected"
Moscow,55.76167,37.60667,RU,A,11503501,fuzzySWHighMatch1,moscow,"Former_Russian_spy_Litvinenko_dies,_radioactive_poisoning_suspected"
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,"Former_Russian_spy_Litvinenko_dies,_radioactive_poisoning_suspected"
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,"Former_Russian_spy_Litvinenko_dies,_radioactive_poisoning_suspected"
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England"
Panama,9.0,-80.0,PA,A,4176873,fuzzySWHighMatch1,panama,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
Tortí,8.92151,-78.39845,PA,P,1611,fuzzySWHighMatch1,tortí,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
Américas,9.89896,-83.67407,CR,P,0,fuzzySWHighMatch2,americas,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
Gaza Strip,31.41667,34.33333,PS,A,487904,fuzzySWHighMatch1,gaza strip,Gaza_Strip_reports_first_swine_flu_cases
Israel,31.5,34.75,IL,A,8883800,fuzzySWHighMatch1,israel,Gaza_Strip_reports_first_swine_flu_cases
Gaza,31.51065,34.46411,PS,A,505700,fuzzySWHighMatch2,gaza,Gaza_Strip_reports_first_swine_flu_cases
Egypt,27.0,30.0,EG,A,98423595,fuzzySWHighMatch1,egypt,Gaza_Strip_reports_first_swine_flu_cases
West Bank,31.66667,35.25,PS,A,2771681,fuzzySWHighMatch2,west bank,Gaza_Strip_reports_first_swine_flu_cases
Rotterdam,51.88246,4.28784,NL,A,638712,fuzzySWHighMatch1,rotterdam,H5N1_bird_flu_confirmed_in_the_Netherlands
Lelystad,52.50833,5.475,NL,P,70741,fuzzySWHighMatch1,lelystad,H5N1_bird_flu_confirmed_in_the_Netherlands
Netherlands,52.25,5.75,NL,A,17231017,fuzzySWHighMatch1,netherlands,H5N1_bird_flu_confirmed_in_the_Netherlands
Poland,52.0,20.0,PL,A,37978548,fuzzySWHighMatch1,poland,H5N1_bird_flu_virus_reaches_Poland
Toruń,53.0144,18.6014,PL,A,202562,fuzzySWHighMatch1,toruń,H5N1_bird_flu_virus_reaches_Poland
Weybridge,51.37178,-0.45975,GB,P,19463,fuzzySWHighMatch1,weybridge,H5N1_bird_flu_virus_reaches_Poland
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,H5N1_bird_flu_virus_reaches_Poland
Lyon,45.74846,4.84671,FR,P,472317,fuzzySWHighMatch2,lyon,H5N1_confirmed_in_France
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,H5N1_confirmed_in_France
Austria,47.33333,13.33333,AT,A,8847037,fuzzySWHighMatch1,austria,H5N1_confirmed_in_France
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,H5N1_confirmed_in_France
Slovenia,46.08333,15.0,SI,A,2067372,fuzzySWHighMatch1,slovenia,H5N1_confirmed_in_France
Greece,39.0,22.0,GR,A,10727668,fuzzySWHighMatch1,greece,H5N1_confirmed_in_France
Italy,42.83333,12.83333,IT,A,60431283,fuzzySWHighMatch1,italy,H5N1_confirmed_in_France
Croatia,45.16667,15.5,HR,A,4089400,fuzzySWHighMatch1,croatia,H5N1_confirmed_in_France
Denmark,56.0,10.0,DK,A,5797446,fuzzySWHighMatch1,denmark,H5N1_confirmed_in_France
Somme,49.93141,2.27639,FR,A,582469,fuzzySWHighMatch1,somme,H5N1_confirmed_in_France
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,H5N1_strain_of_Avian_Flu_found_in_the_UK
Suffolk,40.94046,-72.68524,US,A,1493350,fuzzySWHighMatch1,suffolk,H5N1_strain_of_Avian_Flu_found_in_the_UK
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,H5N1_strain_of_Avian_Flu_found_in_the_UK
Fife,56.25,-3.16667,GB,A,370330,fuzzySWHighMatch2,fife,H5N1_strain_of_Avian_Flu_found_in_the_UK
Scotland,56.0,-4.0,GB,A,5404700,fuzzySWHighMatch1,scotland,H5N1_strain_of_Avian_Flu_found_in_the_UK
Dallas,32.76663,-96.77787,US,A,2368139,fuzzySWHighMatch1,dallas,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
Angola,-12.5,18.5,AO,A,30809762,fuzzySWHighMatch1,angola,Health_experts_suspect_bromide_poisoning_in_Angolan_disease_outbreak
Luanda,-8.91667,13.33924,AO,A,6542942,fuzzySWHighMatch1,luanda,Health_experts_suspect_bromide_poisoning_in_Angolan_disease_outbreak
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Health_experts_suspect_bromide_poisoning_in_Angolan_disease_outbreak
Munich,48.13743,11.57549,DE,P,1260391,fuzzySWHighMatch1,munich,Health_experts_suspect_bromide_poisoning_in_Angolan_disease_outbreak
Kananga,-5.89624,22.41659,CD,P,463546,fuzzySWHighMatch1,kananga,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
Rwanda,-2.0,30.0,RW,A,12301939,fuzzySWHighMatch1,rwanda,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
Zambia,-14.33333,28.5,ZM,A,17351822,fuzzySWHighMatch1,zambia,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
DR Congo,-2.5,23.5,CD,A,84068091,resolvedByAliace,DRC,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
Kampungu,-9.5756,25.08159,CD,P,0,HighPopInEquality,kampungu,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S."
Boston,42.35843,-71.05977,US,P,675647,fuzzySWHighMatch1,boston,"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S."
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S."
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,"Healthcare_workers,_public_officials_struggle_to_address_influenza_outbreak_across_much_of_U.S."
Greenlane,-36.89055,174.79426,NZ,P,0,fuzzySWHighMatch1,greenlane,Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant
